mpa_context_id,mpa_context_category,mpa_context_name,mpa_context_description,mpa_iab_mapping,mpa_signal_type,mpa_brand_safety_tier,mpa_vertical_relevance
CTX-CONTENT-001,CONTENT_CATEGORY,Breaking News,Real-time news content,IAB-12,CONTENT_CATEGORY,TIER_2_MODERATE,NEWS
CTX-CONTENT-002,CONTENT_CATEGORY,Business News,Financial and business news,IAB-12,CONTENT_CATEGORY,TIER_1_SAFE,"FINANCIAL_SERVICES,B2B"
CTX-CONTENT-003,CONTENT_CATEGORY,Entertainment News,Celebrity and entertainment news,IAB-12,CONTENT_CATEGORY,TIER_1_SAFE,ENTERTAINMENT
CTX-CONTENT-004,CONTENT_CATEGORY,Sports News,Sports scores and updates,IAB-12,CONTENT_CATEGORY,TIER_1_SAFE,SPORTS
CTX-CONTENT-005,CONTENT_CATEGORY,Technology News,Tech industry news and updates,IAB-12,CONTENT_CATEGORY,TIER_1_SAFE,TECHNOLOGY
CTX-CONTENT-006,CONTENT_CATEGORY,Political News,Political coverage and commentary,IAB-12,CONTENT_CATEGORY,TIER_3_CAUTION,NEWS
CTX-CONTENT-007,CONTENT_CATEGORY,Local News,Regional and local news,IAB-12,CONTENT_CATEGORY,TIER_2_MODERATE,"NEWS,RETAIL"
CTX-CONTENT-008,CONTENT_CATEGORY,World News,International news coverage,IAB-12,CONTENT_CATEGORY,TIER_2_MODERATE,NEWS
CTX-CONTENT-009,CONTENT_CATEGORY,Fashion Content,"Style, fashion, and apparel content","IAB-9,IAB-18",CONTENT_CATEGORY,TIER_1_SAFE,"RETAIL,CPG"
CTX-CONTENT-010,CONTENT_CATEGORY,Beauty Content,"Skincare, makeup, and beauty tips","IAB-9,IAB-18",CONTENT_CATEGORY,TIER_1_SAFE,"CPG,RETAIL"
CTX-CONTENT-011,CONTENT_CATEGORY,Home & Garden,Home decor and gardening content,"IAB-9,IAB-18",CONTENT_CATEGORY,TIER_1_SAFE,"HOME_IMPROVEMENT,RETAIL"
CTX-CONTENT-012,CONTENT_CATEGORY,Food & Recipes,Cooking and culinary content,"IAB-9,IAB-18",CONTENT_CATEGORY,TIER_1_SAFE,"CPG,RESTAURANT"
CTX-CONTENT-013,CONTENT_CATEGORY,Travel Content,Travel guides and destination content,"IAB-9,IAB-18",CONTENT_CATEGORY,TIER_1_SAFE,TRAVEL
CTX-CONTENT-014,CONTENT_CATEGORY,Wellness Content,Health and wellness lifestyle,"IAB-9,IAB-18",CONTENT_CATEGORY,TIER_1_SAFE,"HEALTHCARE,FITNESS,CPG"
CTX-CONTENT-015,CONTENT_CATEGORY,Parenting Content,Parenting advice and family content,"IAB-9,IAB-18",CONTENT_CATEGORY,TIER_1_SAFE,"CPG,RETAIL"
CTX-CONTENT-016,CONTENT_CATEGORY,Relationship Content,Dating and relationship advice,"IAB-9,IAB-18",CONTENT_CATEGORY,TIER_2_MODERATE,ENTERTAINMENT
CTX-CONTENT-017,CONTENT_CATEGORY,Investing Content,Investment strategies and market analysis,"IAB-3,IAB-13",CONTENT_CATEGORY,TIER_1_SAFE,FINANCIAL_SERVICES
CTX-CONTENT-018,CONTENT_CATEGORY,Personal Finance,Budgeting and financial planning,"IAB-3,IAB-13",CONTENT_CATEGORY,TIER_1_SAFE,FINANCIAL_SERVICES
CTX-CONTENT-019,CONTENT_CATEGORY,Real Estate Content,Property and real estate market,"IAB-3,IAB-13",CONTENT_CATEGORY,TIER_1_SAFE,"REAL_ESTATE,FINANCIAL_SERVICES"
CTX-CONTENT-020,CONTENT_CATEGORY,Entrepreneurship,Startup and business content,"IAB-3,IAB-13",CONTENT_CATEGORY,TIER_1_SAFE,B2B
CTX-CONTENT-021,CONTENT_CATEGORY,Career Content,Job search and career advice,"IAB-3,IAB-13",CONTENT_CATEGORY,TIER_1_SAFE,"B2B,EDUCATION"
CTX-CONTENT-022,CONTENT_CATEGORY,Corporate News,Company and industry updates,"IAB-3,IAB-13",CONTENT_CATEGORY,TIER_1_SAFE,B2B
CTX-CONTENT-023,CONTENT_CATEGORY,Cryptocurrency Content,Crypto and blockchain content,"IAB-3,IAB-13",CONTENT_CATEGORY,TIER_2_MODERATE,"FINANCIAL_SERVICES,TECHNOLOGY"
CTX-CONTENT-024,CONTENT_CATEGORY,Small Business Content,SMB tips and resources,"IAB-3,IAB-13",CONTENT_CATEGORY,TIER_1_SAFE,B2B
CTX-CONTENT-025,CONTENT_CATEGORY,Consumer Tech Reviews,Gadget and device reviews,IAB-19,CONTENT_CATEGORY,TIER_1_SAFE,"TECHNOLOGY,RETAIL"
CTX-CONTENT-026,CONTENT_CATEGORY,Software Content,Software and app coverage,IAB-19,CONTENT_CATEGORY,TIER_1_SAFE,"TECHNOLOGY,B2B"
CTX-CONTENT-027,CONTENT_CATEGORY,AI & Machine Learning,Artificial intelligence content,IAB-19,CONTENT_CATEGORY,TIER_1_SAFE,"TECHNOLOGY,B2B"
CTX-CONTENT-028,CONTENT_CATEGORY,Cybersecurity Content,Security and privacy content,IAB-19,CONTENT_CATEGORY,TIER_1_SAFE,"TECHNOLOGY,B2B"
CTX-CONTENT-029,CONTENT_CATEGORY,Gaming Content,Video game news and reviews,IAB-19,CONTENT_CATEGORY,TIER_1_SAFE,"ENTERTAINMENT,TECHNOLOGY"
CTX-CONTENT-030,CONTENT_CATEGORY,Mobile Tech,Smartphone and mobile content,IAB-19,CONTENT_CATEGORY,TIER_1_SAFE,"TECHNOLOGY,RETAIL"
CTX-CONTENT-031,CONTENT_CATEGORY,Cloud Computing,Cloud services and infrastructure,IAB-19,CONTENT_CATEGORY,TIER_1_SAFE,"B2B,TECHNOLOGY"
CTX-CONTENT-032,CONTENT_CATEGORY,Smart Home Content,IoT and smart home devices,IAB-19,CONTENT_CATEGORY,TIER_1_SAFE,"TECHNOLOGY,HOME_IMPROVEMENT"
CTX-CONTENT-033,CONTENT_CATEGORY,Movie Content,Film reviews and cinema news,IAB-1,CONTENT_CATEGORY,TIER_1_SAFE,ENTERTAINMENT
CTX-CONTENT-034,CONTENT_CATEGORY,TV Content,Television shows and streaming,IAB-1,CONTENT_CATEGORY,TIER_1_SAFE,ENTERTAINMENT
CTX-CONTENT-035,CONTENT_CATEGORY,Music Content,Music news and artist coverage,IAB-1,CONTENT_CATEGORY,TIER_1_SAFE,ENTERTAINMENT
CTX-CONTENT-036,CONTENT_CATEGORY,Celebrity Content,Celebrity news and gossip,IAB-1,CONTENT_CATEGORY,TIER_2_MODERATE,ENTERTAINMENT
CTX-CONTENT-037,CONTENT_CATEGORY,Streaming Content,Streaming service coverage,IAB-1,CONTENT_CATEGORY,TIER_1_SAFE,"ENTERTAINMENT,TECHNOLOGY"
CTX-CONTENT-038,CONTENT_CATEGORY,Arts & Culture,Fine arts and cultural content,IAB-1,CONTENT_CATEGORY,TIER_1_SAFE,"ENTERTAINMENT,EDUCATION"
CTX-CONTENT-039,CONTENT_CATEGORY,Comedy Content,Humor and comedy entertainment,IAB-1,CONTENT_CATEGORY,TIER_2_MODERATE,ENTERTAINMENT
CTX-CONTENT-040,CONTENT_CATEGORY,Podcasts Content,Podcast recommendations and news,IAB-1,CONTENT_CATEGORY,TIER_1_SAFE,"ENTERTAINMENT,EDUCATION"
CTX-CONTENT-041,CONTENT_CATEGORY,Professional Sports,"Pro league coverage (NFL, NBA, etc.)",IAB-17,CONTENT_CATEGORY,TIER_1_SAFE,"SPORTS,ENTERTAINMENT"
CTX-CONTENT-042,CONTENT_CATEGORY,College Sports,NCAA and college athletics,IAB-17,CONTENT_CATEGORY,TIER_1_SAFE,"SPORTS,EDUCATION"
CTX-CONTENT-043,CONTENT_CATEGORY,Fantasy Sports,Fantasy league and betting adjacent,IAB-17,CONTENT_CATEGORY,TIER_2_MODERATE,"SPORTS,ENTERTAINMENT"
CTX-CONTENT-044,CONTENT_CATEGORY,Fitness Content,Exercise and workout content,IAB-17,CONTENT_CATEGORY,TIER_1_SAFE,"FITNESS,HEALTHCARE"
CTX-CONTENT-045,CONTENT_CATEGORY,Outdoor Sports,"Hiking, camping, extreme sports",IAB-17,CONTENT_CATEGORY,TIER_1_SAFE,"SPORTS,RETAIL"
CTX-CONTENT-046,CONTENT_CATEGORY,Motorsports,Racing and automotive sports,IAB-17,CONTENT_CATEGORY,TIER_1_SAFE,"SPORTS,AUTOMOTIVE"
CTX-CONTENT-047,CONTENT_CATEGORY,Golf Content,Golf news and coverage,IAB-17,CONTENT_CATEGORY,TIER_1_SAFE,"SPORTS,LUXURY"
CTX-CONTENT-048,CONTENT_CATEGORY,Combat Sports,"Boxing, MMA, wrestling",IAB-17,CONTENT_CATEGORY,TIER_2_MODERATE,"SPORTS,ENTERTAINMENT"
CTX-CONTENT-049,CONTENT_CATEGORY,General Health,Wellness and health tips,IAB-7,CONTENT_CATEGORY,TIER_1_SAFE,"HEALTHCARE,CPG"
CTX-CONTENT-050,CONTENT_CATEGORY,Medical Conditions,Disease and condition information,IAB-7,CONTENT_CATEGORY,TIER_2_MODERATE,"HEALTHCARE,PHARMACEUTICAL"
CTX-CONTENT-051,CONTENT_CATEGORY,Mental Health,Mental wellness content,IAB-7,CONTENT_CATEGORY,TIER_2_MODERATE,HEALTHCARE
CTX-CONTENT-052,CONTENT_CATEGORY,Nutrition Content,Diet and nutrition information,IAB-7,CONTENT_CATEGORY,TIER_1_SAFE,"HEALTHCARE,CPG"
CTX-CONTENT-053,CONTENT_CATEGORY,Fitness & Exercise,Workout and training content,IAB-7,CONTENT_CATEGORY,TIER_1_SAFE,"FITNESS,HEALTHCARE"
CTX-CONTENT-054,CONTENT_CATEGORY,Healthcare Industry,Medical industry news,IAB-7,CONTENT_CATEGORY,TIER_1_SAFE,"HEALTHCARE,B2B"
CTX-CONTENT-055,CONTENT_CATEGORY,Alternative Medicine,Holistic and alternative health,IAB-7,CONTENT_CATEGORY,TIER_2_MODERATE,HEALTHCARE
CTX-CONTENT-056,CONTENT_CATEGORY,Senior Health,Aging and elder care content,IAB-7,CONTENT_CATEGORY,TIER_1_SAFE,HEALTHCARE
CTX-CONTENT-057,CONTENT_CATEGORY,New Car Reviews,New vehicle reviews and comparisons,IAB-2,CONTENT_CATEGORY,TIER_1_SAFE,AUTOMOTIVE
CTX-CONTENT-058,CONTENT_CATEGORY,Used Car Content,Pre-owned vehicle information,IAB-2,CONTENT_CATEGORY,TIER_1_SAFE,AUTOMOTIVE
CTX-CONTENT-059,CONTENT_CATEGORY,EV Content,Electric vehicle coverage,IAB-2,CONTENT_CATEGORY,TIER_1_SAFE,"AUTOMOTIVE,TECHNOLOGY"
CTX-CONTENT-060,CONTENT_CATEGORY,Auto Industry News,Automotive industry updates,IAB-2,CONTENT_CATEGORY,TIER_1_SAFE,"AUTOMOTIVE,B2B"
CTX-CONTENT-061,CONTENT_CATEGORY,Car Maintenance,Vehicle care and repair content,IAB-2,CONTENT_CATEGORY,TIER_1_SAFE,AUTOMOTIVE
CTX-CONTENT-062,CONTENT_CATEGORY,Luxury Vehicles,Premium and luxury car content,IAB-2,CONTENT_CATEGORY,TIER_1_SAFE,"AUTOMOTIVE,LUXURY"
CTX-CONTENT-063,CONTENT_CATEGORY,Trucks & SUVs,Truck and SUV coverage,IAB-2,CONTENT_CATEGORY,TIER_1_SAFE,AUTOMOTIVE
CTX-CONTENT-064,CONTENT_CATEGORY,Motorcycle Content,Motorcycle news and reviews,IAB-2,CONTENT_CATEGORY,TIER_1_SAFE,AUTOMOTIVE
CTX-CONTENT-065,CONTENT_CATEGORY,Higher Education,College and university content,IAB-5,CONTENT_CATEGORY,TIER_1_SAFE,EDUCATION
CTX-CONTENT-066,CONTENT_CATEGORY,K-12 Education,Primary and secondary school,IAB-5,CONTENT_CATEGORY,TIER_1_SAFE,"EDUCATION,CPG"
CTX-CONTENT-067,CONTENT_CATEGORY,Online Learning,E-learning and courses,IAB-5,CONTENT_CATEGORY,TIER_1_SAFE,"EDUCATION,TECHNOLOGY"
CTX-CONTENT-068,CONTENT_CATEGORY,Professional Development,Career skills and training,IAB-5,CONTENT_CATEGORY,TIER_1_SAFE,"EDUCATION,B2B"
CTX-CONTENT-069,CONTENT_CATEGORY,Language Learning,Foreign language education,IAB-5,CONTENT_CATEGORY,TIER_1_SAFE,EDUCATION
CTX-CONTENT-070,CONTENT_CATEGORY,Test Prep Content,Exam preparation resources,IAB-5,CONTENT_CATEGORY,TIER_1_SAFE,EDUCATION
CTX-CONTENT-071,CONTENT_CATEGORY,STEM Content,Science and technology education,IAB-5,CONTENT_CATEGORY,TIER_1_SAFE,"EDUCATION,TECHNOLOGY"
CTX-CONTENT-072,CONTENT_CATEGORY,Early Childhood,Preschool and early learning,IAB-5,CONTENT_CATEGORY,TIER_1_SAFE,"EDUCATION,CPG"
CTX-PAGE-073,PAGE_CONTEXT,Article Page,Long-form editorial content,,PAGE_CONTEXT,TIER_1_SAFE,ALL
CTX-PAGE-074,PAGE_CONTEXT,Product Page,E-commerce product listings,,PAGE_CONTEXT,TIER_1_SAFE,"RETAIL,CPG"
CTX-PAGE-075,PAGE_CONTEXT,Category Page,Product category browsing,,PAGE_CONTEXT,TIER_1_SAFE,RETAIL
CTX-PAGE-076,PAGE_CONTEXT,Search Results,Search results page,,PAGE_CONTEXT,TIER_1_SAFE,ALL
CTX-PAGE-077,PAGE_CONTEXT,Video Page,Video content page,,PAGE_CONTEXT,TIER_1_SAFE,ENTERTAINMENT
CTX-PAGE-078,PAGE_CONTEXT,Forum/Discussion,User-generated discussions,,PAGE_CONTEXT,TIER_2_MODERATE,ALL
CTX-PAGE-079,PAGE_CONTEXT,Review Page,Product/service reviews,,PAGE_CONTEXT,TIER_1_SAFE,"RETAIL,TRAVEL"
CTX-PAGE-080,PAGE_CONTEXT,Landing Page,Marketing landing page,,PAGE_CONTEXT,TIER_1_SAFE,ALL
CTX-PAGE-081,PAGE_CONTEXT,Blog Post,Blog content,,PAGE_CONTEXT,TIER_1_SAFE,ALL
CTX-PAGE-082,PAGE_CONTEXT,News Article,News content,,PAGE_CONTEXT,TIER_2_MODERATE,NEWS
CTX-PAGE-083,PAGE_CONTEXT,Recipe Page,Cooking recipe content,,PAGE_CONTEXT,TIER_1_SAFE,"CPG,RESTAURANT"
CTX-PAGE-084,PAGE_CONTEXT,How-To Guide,Tutorial and guide content,,PAGE_CONTEXT,TIER_1_SAFE,ALL
CTX-SENT-085,SENTIMENT,Positive Sentiment,Uplifting and positive content,,SENTIMENT,TIER_1_SAFE,ALL
CTX-SENT-086,SENTIMENT,Neutral Sentiment,Factual and objective content,,SENTIMENT,TIER_1_SAFE,ALL
CTX-SENT-087,SENTIMENT,Negative Sentiment,Critical or pessimistic content,,SENTIMENT,TIER_3_CAUTION,ALL
CTX-SENT-088,SENTIMENT,Controversial Content,Debatable or divisive topics,,SENTIMENT,TIER_3_CAUTION,ALL
CTX-SENT-089,SENTIMENT,Celebratory Content,Content about achievements and wins,,SENTIMENT,TIER_1_SAFE,ALL
CTX-SENT-090,SENTIMENT,Inspirational Content,Motivational and inspiring,,SENTIMENT,TIER_1_SAFE,ALL
CTX-SENT-091,SENTIMENT,Educational Tone,Informative and teaching content,,SENTIMENT,TIER_1_SAFE,"EDUCATION,B2B"
CTX-SENT-092,SENTIMENT,Opinion/Editorial,Subjective opinion content,,SENTIMENT,TIER_2_MODERATE,NEWS
CTX-SAFETY-093,BRAND_SAFETY,Adult Content,Sexually explicit or suggestive content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-094,BRAND_SAFETY,Violence & Gore,Graphic violence content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-095,BRAND_SAFETY,Hate Speech,Discriminatory or hateful content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-096,BRAND_SAFETY,Illegal Activities,Content promoting illegal acts,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-097,BRAND_SAFETY,Drug Content,Drug use or promotion content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-098,BRAND_SAFETY,Alcohol Content,Alcohol-related content,,BRAND_SAFETY,TIER_3_CAUTION,CPG
CTX-SAFETY-099,BRAND_SAFETY,Gambling Content,Betting and gambling content,,BRAND_SAFETY,TIER_3_CAUTION,ENTERTAINMENT
CTX-SAFETY-100,BRAND_SAFETY,Tobacco Content,Tobacco and vaping content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-101,BRAND_SAFETY,Weapons Content,Firearms and weapons content,,BRAND_SAFETY,TIER_3_CAUTION,ALL
CTX-SAFETY-102,BRAND_SAFETY,Profanity,Strong language content,,BRAND_SAFETY,TIER_3_CAUTION,ALL
CTX-SAFETY-103,BRAND_SAFETY,Piracy/Copyright,Copyright infringing content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-104,BRAND_SAFETY,Misinformation,False or misleading content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-105,BRAND_SAFETY,Spam/Low Quality,Low-quality or spam content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-106,BRAND_SAFETY,Made for Advertising,MFA/low-quality ad sites,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-SAFETY-107,BRAND_SAFETY,Sensitive News,Tragic events or disasters,,BRAND_SAFETY,TIER_3_CAUTION,NEWS
CTX-SAFETY-108,BRAND_SAFETY,Political Extremism,Extreme political content,,BRAND_SAFETY,TIER_4_AVOID,ALL
CTX-FORMAT-109,FORMAT,Long-Form Article,Articles 1000+ words,,CONTENT_FORMAT,TIER_1_SAFE,ALL
CTX-FORMAT-110,FORMAT,Short-Form Content,Quick-read content under 500 words,,CONTENT_FORMAT,TIER_1_SAFE,ALL
CTX-FORMAT-111,FORMAT,Video Content,Video-based content,,CONTENT_FORMAT,TIER_1_SAFE,ENTERTAINMENT
CTX-FORMAT-112,FORMAT,Podcast/Audio,Audio content format,,CONTENT_FORMAT,TIER_1_SAFE,"ENTERTAINMENT,EDUCATION"
CTX-FORMAT-113,FORMAT,Image Gallery,Photo-heavy content,,CONTENT_FORMAT,TIER_1_SAFE,"ENTERTAINMENT,RETAIL"
CTX-FORMAT-114,FORMAT,Interactive Content,"Quizzes, calculators, tools",,CONTENT_FORMAT,TIER_1_SAFE,ALL
CTX-FORMAT-115,FORMAT,Live Content,Real-time streaming content,,CONTENT_FORMAT,TIER_2_MODERATE,"ENTERTAINMENT,SPORTS"
CTX-FORMAT-116,FORMAT,User Comments,Comment sections present,,CONTENT_FORMAT,TIER_2_MODERATE,ALL
CTX-FORMAT-117,FORMAT,Infographic,Visual data representation,,CONTENT_FORMAT,TIER_1_SAFE,"B2B,EDUCATION"
CTX-FORMAT-118,FORMAT,Slideshow,Multi-slide content format,,CONTENT_FORMAT,TIER_1_SAFE,ALL
CTX-KEYWORD-119,KEYWORD,Seasonal - Holiday,Holiday and seasonal content,,KEYWORD_TOPIC,TIER_1_SAFE,"RETAIL,CPG"
CTX-KEYWORD-120,KEYWORD,Seasonal - Back to School,Back to school content,,KEYWORD_TOPIC,TIER_1_SAFE,"RETAIL,EDUCATION"
CTX-KEYWORD-121,KEYWORD,Seasonal - Summer,Summer activity content,,KEYWORD_TOPIC,TIER_1_SAFE,"TRAVEL,RETAIL"
CTX-KEYWORD-122,KEYWORD,Seasonal - Winter,Winter and cold weather content,,KEYWORD_TOPIC,TIER_1_SAFE,"RETAIL,TRAVEL"
CTX-KEYWORD-123,KEYWORD,Trending Topics,Currently viral content,,KEYWORD_TOPIC,TIER_2_MODERATE,ALL
CTX-KEYWORD-124,KEYWORD,Evergreen Content,Timeless reference content,,KEYWORD_TOPIC,TIER_1_SAFE,ALL
CTX-KEYWORD-125,KEYWORD,How-To Keywords,Tutorial and instructional,,KEYWORD_TOPIC,TIER_1_SAFE,ALL
CTX-KEYWORD-126,KEYWORD,Best Of Lists,Ranking and recommendation lists,,KEYWORD_TOPIC,TIER_1_SAFE,ALL
CTX-KEYWORD-127,KEYWORD,Comparison Content,Product/service comparisons,,KEYWORD_TOPIC,TIER_1_SAFE,"RETAIL,TECHNOLOGY"
CTX-KEYWORD-128,KEYWORD,Breaking/Live,Real-time news content,,KEYWORD_TOPIC,TIER_3_CAUTION,NEWS
CTX-VIEW-129,VIEWABILITY,Above the Fold,Content visible without scrolling,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-130,VIEWABILITY,Below the Fold,Content requires scrolling,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-131,VIEWABILITY,High Viewability,80%+ viewability rate,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-132,VIEWABILITY,Medium Viewability,50-80% viewability rate,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-133,VIEWABILITY,Premium Publisher,Tier 1 premium content,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-134,VIEWABILITY,Mid-Tier Publisher,Quality mid-market content,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-135,VIEWABILITY,Long Tail Publisher,Smaller niche publishers,,VIEWABILITY,TIER_2_MODERATE,ALL
CTX-VIEW-136,VIEWABILITY,Mobile Optimized,Mobile-friendly content,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-137,VIEWABILITY,Desktop Optimized,Desktop viewing experience,,VIEWABILITY,TIER_1_SAFE,ALL
CTX-VIEW-138,VIEWABILITY,App Environment,In-app content,,VIEWABILITY,TIER_1_SAFE,ALL
