eap_capability_implementationid,capability_code,environment_code,implementation_type,implementation_reference,configuration_json,priority_order,is_enabled,fallback_implementation_id,timeout_seconds,retry_count,retry_delay_ms
00000000-0000-0000-0004-000000000001,ORC_ROUTE,1,1,MPA_ORC_Route_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,15,3,1000
00000000-0000-0000-0004-000000000002,ORC_ROUTE,2,2,https://kdap-functions.azurewebsites.net/api/OrcRoute,"{""api_version"":""2024-01"",""auth_type"":""managed_identity""}",1,true,00000000-0000-0000-0004-000000000003,15,3,1000
00000000-0000-0000-0004-000000000003,ORC_ROUTE,2,1,MPA_ORC_Route_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",2,true,,15,3,1000
00000000-0000-0000-0004-000000000004,ORC_SESSION_INIT,1,1,MPA_ORC_SessionInit_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,10,2,500
00000000-0000-0000-0004-000000000005,ORC_SESSION_INIT,2,1,MPA_ORC_SessionInit_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,10,2,500
00000000-0000-0000-0004-000000000006,ORC_GATE_VALIDATE,1,1,MPA_ORC_GateValidate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.2}",1,true,,10,2,500
00000000-0000-0000-0004-000000000007,ORC_GATE_VALIDATE,2,1,MPA_ORC_GateValidate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.2}",1,true,,10,2,500
00000000-0000-0000-0004-000000000008,ANL_BUDGET_ALLOCATE,1,1,MPA_ANL_BudgetAllocate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000009,ANL_BUDGET_ALLOCATE,2,2,https://kdap-functions.azurewebsites.net/api/AnlBudgetAllocate,"{""api_version"":""2024-01"",""use_mmm"":true}",1,true,00000000-0000-0000-0004-000000000010,30,3,1000
00000000-0000-0000-0004-000000000010,ANL_BUDGET_ALLOCATE,2,1,MPA_ANL_BudgetAllocate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",2,true,,30,3,1000
00000000-0000-0000-0004-000000000011,ANL_MARGINAL_RETURN,1,1,MPA_ANL_MarginalReturn_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,45,3,1000
00000000-0000-0000-0004-000000000012,ANL_MARGINAL_RETURN,2,2,https://kdap-functions.azurewebsites.net/api/AnlMarginalReturn,"{""api_version"":""2024-01"",""curve_type"":""logarithmic""}",1,true,00000000-0000-0000-0004-000000000013,45,3,1000
00000000-0000-0000-0004-000000000013,ANL_MARGINAL_RETURN,2,1,MPA_ANL_MarginalReturn_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",2,true,,45,3,1000
00000000-0000-0000-0004-000000000014,ANL_ROI_PROJECT,1,1,MPA_ANL_ROIProject_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000015,ANL_ROI_PROJECT,2,1,MPA_ANL_ROIProject_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000016,ANL_LTV_CALCULATE,1,1,MPA_ANL_LTVCalculate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000017,ANL_LTV_CALCULATE,2,2,https://kdap-functions.azurewebsites.net/api/AnlLTVCalculate,"{""api_version"":""2024-01"",""cohort_months"":24}",1,true,00000000-0000-0000-0004-000000000018,30,3,1000
00000000-0000-0000-0004-000000000018,ANL_LTV_CALCULATE,2,1,MPA_ANL_LTVCalculate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",2,true,,30,3,1000
00000000-0000-0000-0004-000000000019,AUD_SEGMENT_BUILD,1,1,MPA_AUD_SegmentBuild_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000020,AUD_SEGMENT_BUILD,2,1,MPA_AUD_SegmentBuild_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000021,AUD_PERSONA_CREATE,1,1,MPA_AUD_PersonaCreate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.6}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000022,AUD_PERSONA_CREATE,2,1,MPA_AUD_PersonaCreate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.6}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000023,AUD_JOURNEY_MAP,1,1,MPA_AUD_JourneyMap_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000024,AUD_JOURNEY_MAP,2,1,MPA_AUD_JourneyMap_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000025,CHA_MIX_RECOMMEND,1,1,MPA_CHA_MixRecommend_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000026,CHA_MIX_RECOMMEND,2,1,MPA_CHA_MixRecommend_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000027,CHA_BENCHMARK_LOOKUP,1,4,Dataverse_CHA_BenchmarkLookup,"{""cache_ttl_seconds"":3600}",1,true,,15,2,500
00000000-0000-0000-0004-000000000028,CHA_BENCHMARK_LOOKUP,2,4,Dataverse_CHA_BenchmarkLookup,"{""cache_ttl_seconds"":3600}",1,true,,15,2,500
00000000-0000-0000-0004-000000000029,CHA_EMERGING_EVAL,1,1,MPA_CHA_EmergingEval_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000030,CHA_EMERGING_EVAL,2,1,MPA_CHA_EmergingEval_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000031,SPO_PATH_OPTIMIZE,1,1,MPA_SPO_PathOptimize_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,45,3,1000
00000000-0000-0000-0004-000000000032,SPO_PATH_OPTIMIZE,2,2,https://kdap-functions.azurewebsites.net/api/SpoPathOptimize,"{""api_version"":""2024-01"",""optimize_for"":""nbi""}",1,true,00000000-0000-0000-0004-000000000033,45,3,1000
00000000-0000-0000-0004-000000000033,SPO_PATH_OPTIMIZE,2,1,MPA_SPO_PathOptimize_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",2,true,,45,3,1000
00000000-0000-0000-0004-000000000034,SPO_PARTNER_SCORE,1,1,MPA_SPO_PartnerScore_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000035,SPO_PARTNER_SCORE,2,1,MPA_SPO_PartnerScore_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000036,DOC_BRIEF_GENERATE,1,1,MPA_DOC_BriefGenerate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.6}",1,true,,60,2,2000
00000000-0000-0000-0004-000000000037,DOC_BRIEF_GENERATE,2,2,https://kdap-functions.azurewebsites.net/api/DocBriefGenerate,"{""api_version"":""2024-01"",""output_format"":""docx""}",1,true,00000000-0000-0000-0004-000000000038,60,2,2000
00000000-0000-0000-0004-000000000038,DOC_BRIEF_GENERATE,2,1,MPA_DOC_BriefGenerate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.6}",2,true,,60,2,2000
00000000-0000-0000-0004-000000000039,DOC_SUMMARY_CREATE,1,1,MPA_DOC_SummaryCreate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,30,2,1000
00000000-0000-0000-0004-000000000040,DOC_SUMMARY_CREATE,2,1,MPA_DOC_SummaryCreate_Prompt,"{""model"":""gpt-4o"",""temperature"":0.5}",1,true,,30,2,1000
00000000-0000-0000-0004-000000000041,PRF_ATTRIBUTION_ANALYZE,1,1,MPA_PRF_AttributionAnalyze_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,45,3,1000
00000000-0000-0000-0004-000000000042,PRF_ATTRIBUTION_ANALYZE,2,1,MPA_PRF_AttributionAnalyze_Prompt,"{""model"":""gpt-4o"",""temperature"":0.3}",1,true,,45,3,1000
00000000-0000-0000-0004-000000000043,PRF_ANOMALY_DETECT,1,1,MPA_PRF_AnomalyDetect_Prompt,"{""model"":""gpt-4o"",""temperature"":0.2}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000044,PRF_ANOMALY_DETECT,2,2,https://kdap-functions.azurewebsites.net/api/PrfAnomalyDetect,"{""api_version"":""2024-01"",""threshold"":2.5}",1,true,00000000-0000-0000-0004-000000000045,30,3,1000
00000000-0000-0000-0004-000000000045,PRF_ANOMALY_DETECT,2,1,MPA_PRF_AnomalyDetect_Prompt,"{""model"":""gpt-4o"",""temperature"":0.2}",2,true,,30,3,1000
00000000-0000-0000-0004-000000000046,PRF_OPTIMIZE_RECOMMEND,1,1,MPA_PRF_OptimizeRecommend_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
00000000-0000-0000-0004-000000000047,PRF_OPTIMIZE_RECOMMEND,2,1,MPA_PRF_OptimizeRecommend_Prompt,"{""model"":""gpt-4o"",""temperature"":0.4}",1,true,,30,3,1000
