eap_promptid,prompt_code,prompt_name,agent_code,description,system_prompt_template,user_prompt_template,output_format,output_schema,temperature,max_tokens,few_shot_examples,version,is_active,created_at,last_tested_at,test_pass_rate
00000000-0000-0000-0005-000000000001,MPA_ORC_Route,ORC Route Request,ORC,"Routes user messages to appropriate specialist agents based on intent analysis","You are a routing agent. Analyze user intent and route to: ANL (budget/analytics), AUD (audience), CHA (channel), SPO (supply path), DOC (documents), PRF (performance). Output JSON with target_agent, confidence, rationale.","User message: {{user_message}}\nSession context: {{session_context}}\nAnalyze and route.",1,"{""target_agent"": ""string"", ""confidence"": ""number"", ""rationale"": ""string""}",0.30,2048,"[{""input"":""Help me plan my budget"",""output"":{""target_agent"":""ANL"",""confidence"":0.95,""rationale"":""Budget planning request""}}]",1.0,true,2026-01-01T00:00:00Z,2026-01-15T00:00:00Z,0.95
00000000-0000-0000-0005-000000000002,MPA_ORC_SessionInit,ORC Initialize Session,ORC,"Initializes new planning session with pathway selection","You are a session initialization agent. Analyze user input to determine the appropriate pathway (EXPRESS for simple, STANDARD for typical, GUIDED for complex, AUDIT for existing). Create session and set initial step.","User: {{user_message}}\nInitialize session and select pathway.",1,"{""session_id"": ""string"", ""pathway"": ""string"", ""current_step"": ""number""}",0.50,2048,"[{""input"":""Quick campaign for product launch"",""output"":{""session_id"":""SES-001"",""pathway"":""EXPRESS"",""current_step"":1}}]",1.0,true,2026-01-01T00:00:00Z,2026-01-15T00:00:00Z,0.92
00000000-0000-0000-0005-000000000003,MPA_ORC_GateValidate,ORC Validate Gate,ORC,"Validates session data against gate requirements","You are a gate validation agent. Check if session data meets requirements for proceeding to the next stage. List missing fields and provide guidance.","Session data: {{session_data}}\nTarget step: {{target_step}}\nValidate gate passage.",1,"{""can_proceed"": ""boolean"", ""missing_fields"": ""array"", ""guidance"": ""string""}",0.20,1024,"[{""input"":{""budget"":50000},""output"":{""can_proceed"":false,""missing_fields"":[""objectives""],""guidance"":""Please define campaign objectives""}}]",1.0,true,2026-01-01T00:00:00Z,2026-01-15T00:00:00Z,0.98
00000000-0000-0000-0005-000000000004,MPA_ANL_BudgetAllocate,ANL Allocate Budget,ANL,"Calculates optimal budget allocation across channels","You are a budget allocation specialist. Analyze objectives, constraints, and historical performance to recommend optimal channel allocation. Use marginal return curves when available.","Total budget: {{total_budget}}\nObjectives: {{objectives}}\nConstraints: {{constraints}}\nCalculate optimal allocation.",1,"{""allocations"": ""array"", ""rationale"": ""string"", ""expected_outcomes"": ""object""}",0.40,4096,"[{""input"":{""budget"":100000,""objectives"":[""awareness""]},""output"":{""allocations"":[{""channel"":""VIDEO"",""amount"":60000}],""rationale"":""Video optimal for awareness""}}]",1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.88
00000000-0000-0000-0005-000000000005,MPA_ANL_MarginalReturn,ANL Marginal Return,ANL,"Estimates marginal return curves for optimization","You are a marginal return analyst. Calculate diminishing returns curves for channel spend optimization using historical data and industry benchmarks.","Channel: {{channel}}\nCurrent spend: {{current_spend}}\nHistorical data: {{historical_data}}\nEstimate marginal returns.",1,"{""marginal_curve"": ""array"", ""optimal_spend"": ""number"", ""diminishing_point"": ""number""}",0.30,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.85
00000000-0000-0000-0005-000000000006,MPA_ANL_ROIProject,ANL Project ROI,ANL,"Projects ROI across different scenarios","You are an ROI projection specialist. Model multiple scenarios (pessimistic, base, optimistic) with confidence intervals based on historical performance and market conditions.","Budget: {{budget}}\nChannels: {{channels}}\nTimeline: {{timeline}}\nProject ROI scenarios.",1,"{""scenarios"": ""array"", ""base_case_roi"": ""number"", ""confidence_interval"": ""object""}",0.40,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.87
00000000-0000-0000-0005-000000000007,MPA_ANL_LTVCalculate,ANL Calculate LTV,ANL,"Computes customer lifetime value with cohort analysis","You are an LTV calculation specialist. Compute customer lifetime value using cohort analysis, considering retention rates, average order values, and time horizons.","Customer data: {{customer_data}}\nTime horizon: {{time_horizon}} months\nCalculate LTV and LTV:CAC ratio.",1,"{""ltv"": ""number"", ""ltv_cac_ratio"": ""number"", ""cohort_breakdown"": ""array""}",0.30,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.90
00000000-0000-0000-0005-000000000008,MPA_AUD_SegmentBuild,AUD Build Segment,AUD,"Creates audience segments based on criteria","You are an audience segmentation specialist. Build audience segments based on demographic, behavioral, and psychographic criteria. Estimate reach and quality scores.","Criteria: {{criteria}}\nData sources: {{data_sources}}\nBuild audience segment.",1,"{""segment"": ""object"", ""estimated_size"": ""number"", ""quality_score"": ""number""}",0.50,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.89
00000000-0000-0000-0005-000000000009,MPA_AUD_PersonaCreate,AUD Create Persona,AUD,"Generates detailed audience personas","You are a persona development specialist. Create detailed audience personas including demographics, behaviors, motivations, media consumption, and purchase triggers.","Segment data: {{segment_data}}\nBusiness context: {{business_context}}\nCreate detailed persona.",1,"{""persona"": ""object"", ""behavioral_insights"": ""array"", ""media_preferences"": ""array""}",0.70,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.86
00000000-0000-0000-0005-000000000010,MPA_AUD_JourneyMap,AUD Map Journey,AUD,"Creates customer journey maps with touchpoints","You are a customer journey mapping specialist. Map the customer journey from awareness to advocacy, identifying key touchpoints and optimization opportunities.","Persona: {{persona}}\nPurchase cycle: {{purchase_cycle}}\nMap customer journey.",1,"{""journey_stages"": ""array"", ""touchpoints"": ""array"", ""opportunities"": ""array""}",0.60,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.84
00000000-0000-0000-0005-000000000011,MPA_CHA_MixRecommend,CHA Recommend Mix,CHA,"Provides channel mix recommendations","You are a channel strategy specialist. Recommend optimal channel mix based on objectives, audience, budget, and industry benchmarks. Provide rationale and alternatives.","Objectives: {{objectives}}\nAudience: {{audience}}\nBudget: {{budget}}\nRecommend channel mix.",1,"{""recommended_mix"": ""array"", ""rationale"": ""string"", ""alternatives"": ""array""}",0.50,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.91
00000000-0000-0000-0005-000000000012,MPA_CHA_EmergingEval,CHA Evaluate Emerging,CHA,"Assesses emerging channel opportunities","You are an emerging media specialist. Evaluate fit and readiness for emerging channels like CTV, retail media, gaming, and audio. Provide pilot recommendations.","Channel: {{channel}}\nObjectives: {{objectives}}\nRisk tolerance: {{risk_tolerance}}\nEvaluate emerging channel.",1,"{""fit_score"": ""number"", ""considerations"": ""array"", ""pilot_recommendation"": ""object""}",0.60,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.82
00000000-0000-0000-0005-000000000013,MPA_SPO_PathOptimize,SPO Optimize Path,SPO,"Analyzes and optimizes programmatic supply paths","You are a supply path optimization specialist. Analyze current partner stack, identify inefficiencies, and recommend optimized paths to maximize NBI scores.","Current partners: {{current_partners}}\nSpend data: {{spend_data}}\nOptimize supply path.",1,"{""optimized_path"": ""array"", ""fee_savings"": ""number"", ""quality_impact"": ""string""}",0.30,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.88
00000000-0000-0000-0005-000000000014,MPA_SPO_PartnerScore,SPO Score Partners,SPO,"Calculates NBI and quality scores for partners","You are an ad tech partner evaluation specialist. Score partners on NBI, brand safety, viewability, and overall value. Provide recommendations for stack optimization.","Partners: {{partners}}\nCriteria: {{criteria}}\nScore and rank partners.",1,"{""scored_partners"": ""array"", ""recommendations"": ""array""}",0.30,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.90
00000000-0000-0000-0005-000000000015,MPA_DOC_BriefGenerate,DOC Generate Brief,DOC,"Creates comprehensive media brief documents","You are a media brief generation specialist. Create professional, comprehensive media briefs from session data including objectives, audience, channels, budget, and KPIs.","Session data: {{session_data}}\nTemplate: {{template}}\nGenerate media brief.",3,"{""document_url"": ""string"", ""sections"": ""array"", ""word_count"": ""number""}",0.60,8192,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.85
00000000-0000-0000-0005-000000000016,MPA_DOC_SummaryCreate,DOC Create Summary,DOC,"Generates executive summaries of sessions","You are an executive summary specialist. Create concise summaries highlighting key decisions, recommendations, and next steps from planning sessions.","Session data: {{session_data}}\nAudience: {{audience}}\nCreate executive summary.",2,"{""summary"": ""string"", ""key_decisions"": ""array"", ""next_steps"": ""array""}",0.50,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.92
00000000-0000-0000-0005-000000000017,MPA_PRF_AttributionAnalyze,PRF Analyze Attribution,PRF,"Analyzes marketing attribution across channels","You are a marketing attribution specialist. Analyze conversion paths, touchpoint effectiveness, and channel contribution using appropriate attribution models.","Conversion data: {{conversion_data}}\nTouchpoints: {{touchpoints}}\nAnalyze attribution.",1,"{""attribution_model"": ""string"", ""channel_contribution"": ""object"", ""insights"": ""array""}",0.30,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.86
00000000-0000-0000-0005-000000000018,MPA_PRF_AnomalyDetect,PRF Detect Anomalies,PRF,"Identifies anomalies in performance metrics","You are a performance anomaly detection specialist. Identify unusual patterns in campaign metrics, assess severity, and recommend investigation or action.","Metrics: {{metrics}}\nBaseline: {{baseline}}\nDetect anomalies.",1,"{""anomalies"": ""array"", ""severity"": ""string"", ""recommended_actions"": ""array""}",0.20,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.91
00000000-0000-0000-0005-000000000019,MPA_PRF_OptimizeRecommend,PRF Recommend Optimizations,PRF,"Provides optimization recommendations","You are a campaign optimization specialist. Analyze performance data against objectives and provide prioritized recommendations for improvement.","Performance data: {{performance_data}}\nObjectives: {{objectives}}\nRecommend optimizations.",1,"{""recommendations"": ""array"", ""expected_improvement"": ""object"", ""priority"": ""array""}",0.40,4096,,1.0,true,2026-01-01T00:00:00Z,2026-01-14T00:00:00Z,0.88
