mpa_behavior_id,mpa_behavior_category,mpa_behavior_name,mpa_behavior_description,mpa_signal_type,mpa_platforms_available,mpa_vertical_relevance,mpa_intent_level,mpa_data_freshness
BEH-PURCH-001,PURCHASE,Recently Purchased - Automotive,Made vehicle-related purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",AUTOMOTIVE,HIGH,DAILY
BEH-PURCH-002,PURCHASE,Recently Purchased - Electronics,Made electronics purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","TECHNOLOGY,RETAIL",HIGH,DAILY
BEH-PURCH-003,PURCHASE,Recently Purchased - Apparel,Made clothing purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",HIGH,DAILY
BEH-PURCH-004,PURCHASE,Recently Purchased - Home Goods,Made home goods purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,HOME_IMPROVEMENT",HIGH,DAILY
BEH-PURCH-005,PURCHASE,Recently Purchased - Beauty,Made beauty/cosmetics purchase in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","CPG,RETAIL",HIGH,DAILY
BEH-PURCH-006,PURCHASE,Recently Purchased - Food Delivery,Ordered food delivery in last 7 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RESTAURANT,CPG",HIGH,DAILY
BEH-PURCH-007,PURCHASE,Recently Purchased - Travel,Booked travel in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",TRAVEL,HIGH,DAILY
BEH-PURCH-008,PURCHASE,Recently Purchased - Subscription,Started subscription service in last 30 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","ENTERTAINMENT,TECHNOLOGY",HIGH,DAILY
BEH-PURCH-009,PURCHASE,Recently Purchased - Financial Product,Opened financial account in last 90 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",FINANCIAL_SERVICES,HIGH,DAILY
BEH-PURCH-010,PURCHASE,Recently Purchased - Insurance,Purchased insurance in last 90 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",FINANCIAL_SERVICES,HIGH,DAILY
BEH-PURCH-011,PURCHASE,Heavy Buyer - Online,Makes 10+ online purchases per month,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",HIGH,DAILY
BEH-PURCH-012,PURCHASE,Moderate Buyer - Online,Makes 3-9 online purchases per month,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-013,PURCHASE,Light Buyer - Online,Makes 1-2 online purchases per month,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",LOW,DAILY
BEH-PURCH-014,PURCHASE,Heavy Buyer - In-Store,Visits retail stores 4+ times per week,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-015,PURCHASE,Subscription Stacker,Has 5+ active subscriptions,FIRST_PARTY,"GOOGLE,META,TTD,DV360","ENTERTAINMENT,TECHNOLOGY",HIGH,DAILY
BEH-PURCH-016,PURCHASE,Impulse Buyer,Makes unplanned purchases frequently,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-017,PURCHASE,Deal Seeker,Waits for sales/promotions to purchase,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-018,PURCHASE,Premium Buyer,Consistently purchases premium/luxury items,FIRST_PARTY,"GOOGLE,META,TTD,DV360","LUXURY,RETAIL",HIGH,DAILY
BEH-PURCH-019,PURCHASE,High-Value Purchaser,Average transaction value >$200,FIRST_PARTY,"GOOGLE,META,TTD,DV360","LUXURY,RETAIL,TECHNOLOGY",HIGH,DAILY
BEH-PURCH-020,PURCHASE,Mid-Value Purchaser,Average transaction value $50-200,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-021,PURCHASE,Value Shopper,Primarily purchases discounted items,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,DAILY
BEH-PURCH-022,PURCHASE,Big Ticket Buyer,Made purchase >$1000 in last 90 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360","AUTOMOTIVE,REAL_ESTATE,LUXURY",HIGH,DAILY
BEH-PURCH-023,PURCHASE,Micro-Transaction User,Makes frequent small digital purchases,FIRST_PARTY,"GOOGLE,META,TTD,DV360","ENTERTAINMENT,TECHNOLOGY",MEDIUM,DAILY
BEH-BROW-024,BROWSING,Heavy Video Consumer,Watches 20+ hours of video content weekly,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ENTERTAINMENT,MEDIUM,REAL_TIME
BEH-BROW-025,BROWSING,News Reader,Reads news content daily,FIRST_PARTY,"GOOGLE,META,TTD,DV360","NEWS,B2B",MEDIUM,REAL_TIME
BEH-BROW-026,BROWSING,Research Mode,Multiple product page views without purchase,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TECHNOLOGY",HIGH,REAL_TIME
BEH-BROW-027,BROWSING,Review Reader,Frequently reads product reviews,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TECHNOLOGY",HIGH,REAL_TIME
BEH-BROW-028,BROWSING,Comparison Shopper,Visits competitor sites within session,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TECHNOLOGY,AUTOMOTIVE",HIGH,REAL_TIME
BEH-BROW-029,BROWSING,Long-Form Content Consumer,Reads articles 5+ minutes,FIRST_PARTY,"GOOGLE,META,TTD,DV360","EDUCATION,B2B",MEDIUM,REAL_TIME
BEH-BROW-030,BROWSING,Social Content Consumer,Highly engaged with social media content,FIRST_PARTY,"GOOGLE,META,TTD,DV360","ENTERTAINMENT,RETAIL",MEDIUM,REAL_TIME
BEH-BROW-031,BROWSING,Mobile First Browser,90%+ browsing on mobile devices,FIRST_PARTY,"GOOGLE,META,TTD,DV360","TECHNOLOGY,RETAIL",MEDIUM,REAL_TIME
BEH-BROW-032,BROWSING,Cart Abandoner,Added to cart but did not purchase,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",HIGH,REAL_TIME
BEH-BROW-033,BROWSING,Repeat Visitor,Visited same site 3+ times in 7 days,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,HIGH,REAL_TIME
BEH-BROW-034,BROWSING,Deep Site Explorer,Views 10+ pages per session,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,MEDIUM,REAL_TIME
BEH-BROW-035,BROWSING,Quick Bouncer,Leaves site within 10 seconds,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,LOW,REAL_TIME
BEH-BROW-036,BROWSING,Form Starter,Began but did not complete form,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,HIGH,REAL_TIME
BEH-BROW-037,BROWSING,Wishlist Creator,Added items to wishlist,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TRAVEL",HIGH,REAL_TIME
BEH-BROW-038,BROWSING,Price Alert Subscriber,Signed up for price drop notifications,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TRAVEL",HIGH,REAL_TIME
BEH-BROW-039,BROWSING,Newsletter Subscriber,Opted into email communications,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,MEDIUM,REAL_TIME
BEH-BROW-040,BROWSING,Active Searcher - Product,Searching for specific products,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TECHNOLOGY",HIGH,REAL_TIME
BEH-BROW-041,BROWSING,Active Searcher - Service,Searching for service providers,FIRST_PARTY,"GOOGLE,META,TTD,DV360","B2B,FINANCIAL_SERVICES",HIGH,REAL_TIME
BEH-BROW-042,BROWSING,Active Searcher - Local,Searching for local businesses,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RESTAURANT,RETAIL,HEALTHCARE",HIGH,REAL_TIME
BEH-BROW-043,BROWSING,Active Searcher - Reviews,Searching for reviews and comparisons,FIRST_PARTY,"GOOGLE,META,TTD,DV360",ALL,HIGH,REAL_TIME
BEH-BROW-044,BROWSING,Active Searcher - Price,Searching for prices and deals,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,TRAVEL",HIGH,REAL_TIME
BEH-BROW-045,BROWSING,Voice Search User,Uses voice search regularly,FIRST_PARTY,"GOOGLE,META,TTD,DV360","TECHNOLOGY,RETAIL",MEDIUM,REAL_TIME
BEH-BROW-046,BROWSING,Image Search User,Uses visual search features,FIRST_PARTY,"GOOGLE,META,TTD,DV360","RETAIL,CPG",MEDIUM,REAL_TIME
BEH-APP-047,APP_USAGE,Finance App User,Uses banking/finance apps regularly,FIRST_PARTY,"GOOGLE,META,TTD",FINANCIAL_SERVICES,HIGH,REAL_TIME
BEH-APP-048,APP_USAGE,Shopping App User,Uses retail/shopping apps regularly,FIRST_PARTY,"GOOGLE,META,TTD","RETAIL,CPG",HIGH,REAL_TIME
BEH-APP-049,APP_USAGE,Gaming App User,Uses gaming apps regularly,FIRST_PARTY,"GOOGLE,META,TTD","ENTERTAINMENT,TECHNOLOGY",MEDIUM,REAL_TIME
BEH-APP-050,APP_USAGE,Travel App User,Uses travel booking apps,FIRST_PARTY,"GOOGLE,META,TTD",TRAVEL,HIGH,REAL_TIME
BEH-APP-051,APP_USAGE,Food Delivery App User,Uses food delivery apps,FIRST_PARTY,"GOOGLE,META,TTD","RESTAURANT,CPG",HIGH,REAL_TIME
BEH-APP-052,APP_USAGE,Health App User,Uses health/fitness apps,FIRST_PARTY,"GOOGLE,META,TTD","HEALTHCARE,FITNESS",HIGH,REAL_TIME
BEH-APP-053,APP_USAGE,News App User,Uses news apps daily,FIRST_PARTY,"GOOGLE,META,TTD","NEWS,B2B",MEDIUM,REAL_TIME
BEH-APP-054,APP_USAGE,Social Media Heavy User,Spends 4+ hours daily on social apps,FIRST_PARTY,"GOOGLE,META,TTD","ENTERTAINMENT,RETAIL",MEDIUM,REAL_TIME
BEH-APP-055,APP_USAGE,Productivity App User,Uses productivity/business apps,FIRST_PARTY,"GOOGLE,META,TTD","B2B,TECHNOLOGY",HIGH,REAL_TIME
BEH-APP-056,APP_USAGE,Entertainment Streaming User,Uses streaming apps regularly,FIRST_PARTY,"GOOGLE,META,TTD",ENTERTAINMENT,MEDIUM,REAL_TIME
BEH-APP-057,APP_USAGE,Education App User,Uses learning/education apps,FIRST_PARTY,"GOOGLE,META,TTD",EDUCATION,HIGH,REAL_TIME
BEH-APP-058,APP_USAGE,Dating App User,Uses dating apps,FIRST_PARTY,"GOOGLE,META,TTD",ENTERTAINMENT,MEDIUM,REAL_TIME
BEH-APP-059,APP_USAGE,New App Installer,Installed app in last 7 days,FIRST_PARTY,"GOOGLE,META,TTD",ALL,HIGH,REAL_TIME
BEH-APP-060,APP_USAGE,Power User,Opens app 10+ times daily,FIRST_PARTY,"GOOGLE,META,TTD",ALL,HIGH,REAL_TIME
BEH-APP-061,APP_USAGE,Churned User,Has not opened app in 30+ days,FIRST_PARTY,"GOOGLE,META,TTD",ALL,LOW,REAL_TIME
BEH-APP-062,APP_USAGE,In-App Purchaser,Makes in-app purchases,FIRST_PARTY,"GOOGLE,META,TTD","ENTERTAINMENT,RETAIL",HIGH,REAL_TIME
BEH-APP-063,APP_USAGE,Push Notification Engager,Clicks push notifications frequently,FIRST_PARTY,"GOOGLE,META,TTD",ALL,HIGH,REAL_TIME
BEH-APP-064,APP_USAGE,App Reviewer,Leaves app store reviews,FIRST_PARTY,"GOOGLE,META,TTD",ALL,MEDIUM,REAL_TIME
BEH-APP-065,APP_USAGE,Beta Tester,Participates in beta app testing,FIRST_PARTY,"GOOGLE,META,TTD",TECHNOLOGY,MEDIUM,REAL_TIME
BEH-LOC-066,LOCATION,Frequent Traveler,Visits 3+ cities per month,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR",TRAVEL,HIGH,DAILY
BEH-LOC-067,LOCATION,Commuter,Regular daily commute pattern,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","AUTOMOTIVE,RETAIL",MEDIUM,DAILY
BEH-LOC-068,LOCATION,Retail Visitor,Visits retail stores frequently,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","RETAIL,CPG",HIGH,DAILY
BEH-LOC-069,LOCATION,Restaurant Visitor,Visits restaurants 3+ times weekly,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR",RESTAURANT,HIGH,DAILY
BEH-LOC-070,LOCATION,Gym Goer,Visits fitness locations regularly,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","FITNESS,HEALTHCARE",HIGH,DAILY
BEH-LOC-071,LOCATION,Airport Frequenter,Visits airports 2+ times monthly,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","TRAVEL,B2B",HIGH,DAILY
BEH-LOC-072,LOCATION,Mall Shopper,Visits shopping malls regularly,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","RETAIL,CPG",HIGH,DAILY
BEH-LOC-073,LOCATION,Auto Dealership Visitor,Visited car dealership recently,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR",AUTOMOTIVE,HIGH,DAILY
BEH-LOC-074,LOCATION,Healthcare Facility Visitor,Visits medical facilities,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","HEALTHCARE,PHARMACEUTICAL",HIGH,DAILY
BEH-LOC-075,LOCATION,Stadium/Arena Visitor,Attends sporting events,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","SPORTS,ENTERTAINMENT",MEDIUM,DAILY
BEH-LOC-076,LOCATION,Home Improvement Store Visitor,Visits hardware stores,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","HOME_IMPROVEMENT,RETAIL",HIGH,DAILY
BEH-LOC-077,LOCATION,Business District Worker,Works in commercial area,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR",B2B,MEDIUM,DAILY
BEH-LOC-078,LOCATION,Suburban Resident,Lives in suburban area,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","REAL_ESTATE,AUTOMOTIVE",MEDIUM,DAILY
BEH-LOC-079,LOCATION,Urban Resident,Lives in urban area,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","REAL_ESTATE,RETAIL",MEDIUM,DAILY
BEH-LOC-080,LOCATION,Rural Resident,Lives in rural area,THIRD_PARTY,"GOOGLE,META,TTD,DV360,XANDR","AUTOMOTIVE,RETAIL",MEDIUM,DAILY
BEH-LIFE-081,LIFE_STAGE,New Mover,Moved residence in last 90 days,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","REAL_ESTATE,HOME_IMPROVEMENT,RETAIL",HIGH,WEEKLY
BEH-LIFE-082,LIFE_STAGE,New Homeowner,Purchased home in last 180 days,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","HOME_IMPROVEMENT,FINANCIAL_SERVICES",HIGH,WEEKLY
BEH-LIFE-083,LIFE_STAGE,New Parent,Had child in last 12 months,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","CPG,RETAIL,HEALTHCARE",HIGH,WEEKLY
BEH-LIFE-084,LIFE_STAGE,Expecting Parent,Expecting child,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","CPG,RETAIL,HEALTHCARE",HIGH,WEEKLY
BEH-LIFE-085,LIFE_STAGE,Recently Married,Married in last 12 months,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","RETAIL,TRAVEL,FINANCIAL_SERVICES",HIGH,WEEKLY
BEH-LIFE-086,LIFE_STAGE,Newly Engaged,Engaged in last 6 months,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","RETAIL,TRAVEL,ENTERTAINMENT",HIGH,WEEKLY
BEH-LIFE-087,LIFE_STAGE,Recent Graduate,Graduated in last 12 months,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","EDUCATION,FINANCIAL_SERVICES,RETAIL",HIGH,WEEKLY
BEH-LIFE-088,LIFE_STAGE,Job Changer,Changed jobs in last 90 days,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","B2B,FINANCIAL_SERVICES",HIGH,WEEKLY
BEH-LIFE-089,LIFE_STAGE,Retiree,Recently retired,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","FINANCIAL_SERVICES,TRAVEL,HEALTHCARE",HIGH,WEEKLY
BEH-LIFE-090,LIFE_STAGE,Empty Nester,Children recently left home,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","TRAVEL,RETAIL,FINANCIAL_SERVICES",MEDIUM,WEEKLY
BEH-LIFE-091,LIFE_STAGE,New Pet Owner,Got pet in last 90 days,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","CPG,RETAIL",HIGH,WEEKLY
BEH-LIFE-092,LIFE_STAGE,New Vehicle Owner,Purchased vehicle in last 180 days,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE","AUTOMOTIVE,FINANCIAL_SERVICES",HIGH,WEEKLY
BEH-MEDIA-093,MEDIA_CONSUMPTION,Cord Cutter,Does not have cable TV subscription,THIRD_PARTY,"TTD,DV360,XANDR","ENTERTAINMENT,TECHNOLOGY",MEDIUM,WEEKLY
BEH-MEDIA-094,MEDIA_CONSUMPTION,Cord Never,Never had cable TV,THIRD_PARTY,"TTD,DV360,XANDR","ENTERTAINMENT,TECHNOLOGY",MEDIUM,WEEKLY
BEH-MEDIA-095,MEDIA_CONSUMPTION,CTV Heavy User,Watches 4+ hours CTV daily,THIRD_PARTY,"TTD,DV360,XANDR",ENTERTAINMENT,MEDIUM,WEEKLY
BEH-MEDIA-096,MEDIA_CONSUMPTION,Podcast Listener,Listens to podcasts regularly,THIRD_PARTY,"TTD,DV360,XANDR","ENTERTAINMENT,EDUCATION",MEDIUM,WEEKLY
BEH-MEDIA-097,MEDIA_CONSUMPTION,Sports Viewer,Watches live sports frequently,THIRD_PARTY,"TTD,DV360,XANDR","SPORTS,ENTERTAINMENT",HIGH,WEEKLY
BEH-MEDIA-098,MEDIA_CONSUMPTION,News Junkie,Consumes news content extensively,THIRD_PARTY,"TTD,DV360,XANDR","NEWS,B2B",MEDIUM,WEEKLY
BEH-MEDIA-099,MEDIA_CONSUMPTION,Music Streamer,Uses music streaming services,THIRD_PARTY,"TTD,DV360,XANDR",ENTERTAINMENT,LOW,WEEKLY
BEH-MEDIA-100,MEDIA_CONSUMPTION,Audiobook Listener,Consumes audiobooks regularly,THIRD_PARTY,"TTD,DV360,XANDR","ENTERTAINMENT,EDUCATION",MEDIUM,WEEKLY
BEH-MEDIA-101,MEDIA_CONSUMPTION,Gaming Enthusiast,Plays video games 10+ hours weekly,THIRD_PARTY,"TTD,DV360,XANDR","ENTERTAINMENT,TECHNOLOGY",MEDIUM,WEEKLY
BEH-MEDIA-102,MEDIA_CONSUMPTION,Multi-Screen User,Uses 2+ devices simultaneously,THIRD_PARTY,"TTD,DV360,XANDR",TECHNOLOGY,MEDIUM,WEEKLY
BEH-MEDIA-103,MEDIA_CONSUMPTION,Premium Content Subscriber,Pays for premium content,THIRD_PARTY,"TTD,DV360,XANDR",ENTERTAINMENT,HIGH,WEEKLY
BEH-MEDIA-104,MEDIA_CONSUMPTION,Ad-Supported Viewer,Uses free ad-supported services,THIRD_PARTY,"TTD,DV360,XANDR",ENTERTAINMENT,MEDIUM,WEEKLY
BEH-FIN-105,FINANCIAL,High Net Worth,High net worth individual,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN","FINANCIAL_SERVICES,LUXURY,REAL_ESTATE",HIGH,MONTHLY
BEH-FIN-106,FINANCIAL,Active Investor,Trades stocks/ETFs regularly,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN",FINANCIAL_SERVICES,HIGH,MONTHLY
BEH-FIN-107,FINANCIAL,Crypto Investor,Invests in cryptocurrency,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN","FINANCIAL_SERVICES,TECHNOLOGY",HIGH,MONTHLY
BEH-FIN-108,FINANCIAL,Credit Card Heavy User,Uses credit cards for most purchases,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN","FINANCIAL_SERVICES,RETAIL",MEDIUM,MONTHLY
BEH-FIN-109,FINANCIAL,BNPL User,Uses buy-now-pay-later services,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN","FINANCIAL_SERVICES,RETAIL",HIGH,MONTHLY
BEH-FIN-110,FINANCIAL,Mortgage Shopper,Actively shopping for mortgage,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN","REAL_ESTATE,FINANCIAL_SERVICES",HIGH,MONTHLY
BEH-FIN-111,FINANCIAL,Auto Loan Seeker,Shopping for auto financing,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN","AUTOMOTIVE,FINANCIAL_SERVICES",HIGH,MONTHLY
BEH-FIN-112,FINANCIAL,Insurance Shopper,Actively comparing insurance,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN",FINANCIAL_SERVICES,HIGH,MONTHLY
BEH-FIN-113,FINANCIAL,Retirement Planner,Actively planning retirement,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN",FINANCIAL_SERVICES,HIGH,MONTHLY
BEH-FIN-114,FINANCIAL,Small Business Owner,Owns/operates small business,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN","B2B,FINANCIAL_SERVICES",HIGH,MONTHLY
BEH-FIN-115,FINANCIAL,Luxury Spender,Makes luxury purchases regularly,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN","LUXURY,RETAIL",HIGH,MONTHLY
BEH-FIN-116,FINANCIAL,Budget Conscious,Uses coupons and deals frequently,THIRD_PARTY,"TTD,DV360,LIVERAMP,ORACLE,EXPERIAN","RETAIL,CPG",MEDIUM,MONTHLY
BEH-B2B-117,B2B,IT Decision Maker,Influences IT purchasing decisions,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE","B2B,TECHNOLOGY",HIGH,WEEKLY
BEH-B2B-118,B2B,Marketing Decision Maker,Influences marketing purchases,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE",B2B,HIGH,WEEKLY
BEH-B2B-119,B2B,HR Decision Maker,Influences HR/recruiting purchases,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE",B2B,HIGH,WEEKLY
BEH-B2B-120,B2B,Finance Decision Maker,Influences financial decisions,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE","B2B,FINANCIAL_SERVICES",HIGH,WEEKLY
BEH-B2B-121,B2B,C-Suite Executive,Holds C-level position,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE",B2B,HIGH,WEEKLY
BEH-B2B-122,B2B,Software Evaluator,Researching software solutions,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE","B2B,TECHNOLOGY",HIGH,WEEKLY
BEH-B2B-123,B2B,Event Attendee,Attends industry conferences,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE",B2B,HIGH,WEEKLY
BEH-B2B-124,B2B,Whitepaper Downloader,Downloads B2B content,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE","B2B,TECHNOLOGY",HIGH,WEEKLY
BEH-B2B-125,B2B,Webinar Attendee,Attends business webinars,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE","B2B,EDUCATION",HIGH,WEEKLY
BEH-B2B-126,B2B,RFP Issuer,Currently issuing RFPs,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE",B2B,HIGH,WEEKLY
BEH-B2B-127,B2B,Vendor Researcher,Researching vendors/suppliers,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE",B2B,HIGH,WEEKLY
BEH-B2B-128,B2B,Business Traveler,Travels frequently for business,THIRD_PARTY,"LINKEDIN,TTD,DV360,BOMBORA,6SENSE","B2B,TRAVEL",HIGH,WEEKLY
